id,name,image,HP,Locations & Drops,blockquote,dlc
0,Divine Beast Dancing Lion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_dancing_lion_bosses_elden_ring_wiki_1200px.png,"22,571","{'Belurat, Tower Settlement:': ['120,000', 'Remembrance of the Dancing Lion', 'Divine Beast Head'], 'Ancient Ruins of Rauh:': ['180,000', 'Divine Beast Tornado']}",,0
1,"Rellana, Twin Moon Knight",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rellana_twin_moon_knight2.png,"29,723","{'Castle Ensis': ['240,000', 'Remembrance of the Twin Moon Knight']}",,1
2,Commander Gaius,http://eldenring.wiki.fextralife.com/file/Elden-Ring/commander_gaius_bosses_elden_ring_wiki_1200px.png,"33,871","{'Scaduview': ['230,000', 'Remembrance of the Wild Boar Rider']}",,1
3,Scadutree Avatar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scadutree_avatar_bosses_elden_ring_wiki_1200px.png,"7,560 (phase 1) 13,608 (phase 2) 13,608 (phase 3)","{'Scadutree Base': ['260,000', 'Remembrance of the Shadow Sunflower', ""Miquella's Great Rune""]}",,1
4,Putrescent Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/putrescent_knight_bosses_elden_ring_wiki_1200px.png,"20,612","{'Stone Coffin Fissure': ['220,000', 'Remembrance of Putrescence']}",,1
5,"Midra, Lord of Frenzied Flame",http://eldenring.wiki.fextralife.com/file/Elden-Ring/midra_lord_of_frenzied_flame_bosses_elden_ring_wiki_1200px.png,"47,171","{""Midra's Manse"": ['410,000', 'Remembrance of the Lord of Frenzied Flame']}","Enough.... I have endured more than enough...I ask you forgive me, dearest Nanaya... ",1
6,"Romina, Saint of the Bud",http://eldenring.wiki.fextralife.com/file/Elden-Ring/romina.png,"35,798","{'Church of the Bud': ['380,000', 'Remembrance of the Saint of the Bud']}",,1
7,"Metyr, Mother of Fingers",http://eldenring.wiki.fextralife.com/file/Elden-Ring/1000000223.jpg,"43,296","{'Finger Ruins of Miyr': ['420,000', 'Remembrance of the Mother of Fingers']}",,0
8,Messmer the Impaler,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_the_impaler_bosses_elden_ring_wiki_1200px.png,"38,981","{'Shadow Keep , Specimen Storehouse': ['400,000', 'Remembrance of the Impaler', ""Messmer's Kindling""]}","Mother, wouldst thou truly Lordship sanction, in one so bereft of light? ",1
9,Base Serpent Messmer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_p2_(1).png,TBD,"{'Shadow Keep , Specimen Storehouse': ['400,000 Runes', 'Remembrance of the Impaler', ""Messmer's Kindling""]}","Wilt thou be taken in the jaws... of the abbyssal serpent, shorn of light. ",0
10,Promised Consort Radahn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/consort.png,46134,"{'Enir-Ilim': ['500,000 Runes', 'Remembrance of a God and a Lord']}","Now, the vow will be honoured, and my Lord brother's soul will return. ",1
11,"Radahn, Consort of Miquella",http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahn-consort-of-miquella-elden-ring-wiki-guide-min.png,46134,"{'Enir-Ilim': ['500,000 Runes', 'Remembrance of a God and a Lord']}","Now, the vow will be honoured, and my Lord brother's soul will return. ",1
12,Bayle The Dread,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bayle.png,"41,612","{'Jagged Peak': ['490000', 'Heart of Bayle']}",,1
13,Godrick the Grafted,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godrick_the_grafted_bosses_elden_ring_wiki_600px1-min.jpg,"6,080","{'Stormveil Castle': ['20,000 (NG)', '5,000 (NG, Co-op)', ""Godrick's Great Rune"", 'Remembrance of the Grafted']}","I command thee, kneel! I am the lord of all that is golden! ",0
14,Rennala Carian Queen of the Full Moon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rennala_queen_of_the_full_moon_bosses_elden_ring_wiki_600px1-min.jpg,Phase 1,"{'Raya Lucaria Academy': ['40,000 Runes (NG)', '30,000 Runes (NG, Co-op Host)', '10,000 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Remembrance of the Full Moon Queen', 'Great Rune of the Unborn']}","Hush, little culver. I'll soon birth thee anew, a sweeting fresh and pure… ",0
15,Starscourge Radahn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahn_enemies_elden_ring_wiki_600px1-min.jpg,"9,572","{'Redmane Castle': ['70,000', 'Remembrance of the Starscourge', ""Radahn's Great Rune""]}",The Red Lion General wielded gravitational powers which he learned in Sellia during his younger days. All so he would never have to abandon his beloved but scrawny steed. ,0
16,Morgott The Grace-Given Veiled Monarch Omen King,http://eldenring.wiki.fextralife.com/file/Elden-Ring/morgott-omen-king-3-elden-ring-wiki-guide.jpg,"10,399","{'Leyndell, Royal Capital': ['120,000', 'Remembrance of the Omen King', ""Morgott's Great Rune"", 'Talisman Pouch (NG only, Margit not defeated)']}","Have it writ upon thy meagre grave: ""Felled by King Morgott! Last of all kings."" ",0
17,"Rykard, Lord of Blasphemy",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rykard_lord_of_blasphemy_bosses_elden_ring_wiki_600px1.jpg,"89,613","{'Volcano Manor': ['130.000', ""Rykard's Great Rune"", 'Remembrance of the Blasphemous']}","Join the Serpent King, as family... Together, we will devour the very gods! ",0
18,"Mohg, Lord of Blood",http://eldenring.wiki.fextralife.com/file/Elden-Ring/mohg_the_omen_bosses_elden_ring_wiki_600px1-min.jpg,"18,389","{'Mohgwyn Palace': ['420,000', ""Mohg's Great Rune"", 'Remembrance of the Blood Lord']}","Welcome, honored guest. To the birthplace of our Dynasty! ",0
19,"Malenia, Blade of Miquella","http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenia,-blade-of-miquella1-min.jpg","33,251","{'Elphael, Brace of the Haligtree': [""480,000 Malenia's Great Rune Remembrance of the Rot Goddess""]}",...Heed my words. I am Malenia. Blade of Miquella. And I have never known defeat. ,0
20,Lichdragon Fortissax,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fortissax_bosses_elden_ring_wiki_600px1-min.jpg,"12,903","{'Deeproot Depths': ['90,000', 'Remembrance of the Lichdragon']}","After Godwyn the Golden became the Prince of Death, the ancient dragon fought long and hard against the Death within its companion. Alas, victory was never achieved and its only reward was corruption. ",0
21,"Maliketh, The Black Blade",http://eldenring.wiki.fextralife.com/file/Elden-Ring/maliketh-the-black-blade-4k1-min.jpg,"10,620","{'Crumbling Farum Azula': ['220,000', 'Remembrance of the Black Blade']}","Cower before Maliketh, Marika’s Black Blade. ",0
22,"Astel, Naturalborn of the Void",http://eldenring.wiki.fextralife.com/file/Elden-Ring/astel-naturalborn-of-the-void-1-elden-ring-wiki-guide.jpg,"11,170","{'Grand Cloister': ['80,000', 'Remembrance of the Naturalborn']}",A malformed star born in the lightless void far away. Once destroyed an Eternal City and took away their sky. A falling star of ill omen. ,0
