id,name,image,type,damage type,attack power,passive effect,description,dlc
0,Piquebone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_(fletched)_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item. The fletching adds distance to the arrow's flight.",1
1,Piquebone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",1
2,Igon's Harpoon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_harpoon_great_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '90', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Great arrow that bristles with sharp gravel stone pieces. Has an anti-dragon effect. The broken drake warrior Igon made these one by one in the midst of his agonyso that Bayle the Dread himself would know fear.,1
3,Piquebone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_bolt_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Bolt whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",1
4,Rabbath's Greatbolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rabbaths_greatbolt_great_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatbolt,Pierce,"{'Phy': '50', 'Mag': '150', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatbolt tipped with a clump of glintstone shards. One of Spellmachinist Rabbath's innovative designs. Detonates a large explosion on impact, dealing magic damage.",1
5,Firebone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '93', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item.,0
6,Firebone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '93', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item. The fletching adds distance to the arrow's flight.,0
7,Bone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '42', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from thin animal bones. Craftable item. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",0
8,Bone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '42', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from thin animal bones. Craftable item. The feather fletching adds distance to the arrow's flight.,0
9,Poisonbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes Poison buildup (60),Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,0
