id,name,image,effect,FP cost,description,dlc
0,Hefty Fire Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_fire_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to inflict severe fire damage,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to inflict severe fire damage.,1
1,Hefty Rock Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_rock_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to inflict heavy damage,0,Craftable item prepared using a capacious cracked pot. Filled to the brim with crushed rocksnothing clever about it. Throw at enemies to inflict heavy damage.,1
2,Hefty Lightning Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_lightning_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to inflict severe lightning damage,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to inflict severe lightning damage.,1
3,Hefty Fetid Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_fetid_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause a large buildup of deadly poison,0,"Craftable item prepared using a capacious cracked pot. A heaping mass of effluents is sealed inside. As the mixture ferments, toxins are produced alongside a putrid stench that seeps out once ripe. Throw at enemies to cause a large buildup of deadly poison. Beware though; those who carry these pots will slowly accumulate poison in their own bodies. Push someone in a privy; expect to get dung on your hands.",1
4,Hefty Fly Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_fly_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to release a large swarm of bloodflies,0,Craftable item prepared using a capacious cracked pot. A heaping mass of effluents is sealed inside. Throw at enemies to set a large swarm of bloodflies upon them. The vile swarm deals damage and greatly builds up onset of blood loss. The cacophony of their wings assails the sanity of berserkers. The maggots found in waste feed on blood and turn into vicious flies that are pitiably short-lived.,1
5,Hefty Freezing Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_freezing_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause a large buildup of frost,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to cause a large buildup of frost.,1
6,Hefty Poison Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_poison_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause a large buildup of poison,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to cause a large buildup of poison.,1
7,Hefty Oil Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_oil_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to soak them in a heavy coat of oil,0,"Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside.Throw at enemies to soak them in a heavy coat of oil, making them acutely susceptible to fire damage.",1
8,Hefty Volcano Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_volcano_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Creates heat cloud, causing continuous heavy fire damage",0,"Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to disperse a searing cloud of heat, dealing continuous heavy damage to those caught inside for a short duration.",1
9,Hefty Frenzied Flame Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_frenzied_flame_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause a large buildup of madness,0,"Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to cause a large buildup of madness. The flame of frenzy burns the eyes, but tranquility follows in its wake. May this pot bring salvation to those it strikes.",1
10,Hefty Rancor Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_rancor_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Uses FP. Throw to spawn a throng of vengeful spirits.,0,"Craftable item prepared using a capacious cracked pot. Enchanted by the ancient death hex. Consumes FP. Throw at enemies to spawn a throng of vengeful spirits that chase down foes. In times of old, the dead were burned with ghostflame, and from those cinders arose vengeful spirits.",1
11,Hefty Magic Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_magic_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw to inflict severe magic damage,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to inflict severe magic damage.,1
12,Hefty Rot Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_rot_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause a large buildup of scarlet rot,0,"Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at enemies to cause a large buildup of scarlet rot. Rot is one of the divine elements of the outer gods, and eats away at life like a vicious plague.",1
13,Hefty Furnace Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_furnace_pot_1_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to create a whirlwind of flame,0,"Craftable item prepared using a capacious cracked pot. Imbued with a hex of the furnace. Throw at an enemy to create a whirlwind of flame. The furnace's flame burns away both body and soul. When impurity is thus expunged, one calls it cleansing.",1
14,Hefty Red Lightning Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_red_lightning_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Inflict heavy lightning damage that links to nearby enemies,0,Craftable item prepared using a capacious cracked pot. A goodly amount of materials is sealed inside. Throw at an enemy to inflict heavy lightning damage that links to surrounding enemies. The ancient dragons who betrayed their lord to side with a tyrant were known for wielding branching red lightning.,1
15,Red Lightning Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/red_lightning_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Inflict lightning damage that links to nearby enemies,0,Craftable item prepared using a ritual pot. A cocktail of materials is sealed inside. Throw at an enemy to inflict lightning damage that links to surrounding enemies. The ancient dragons who betrayed their lord to side with a tyrant were known for wielding branching red lightning.,1
16,Frenzied Flame Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenzied_flame_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to cause buildup of madness,0,"Craftable item prepared using a cracked pot. A cocktail of materials is sealed inside. Throw at enemies to cause buildup of madness. The flame of frenzy burns the eyes, but tranquility follows in its wake. May this pot bring salvation to those it strikes.",1
17,Eternal Sleep Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eternal_sleep_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Uses FP. Throw to cause buildup of eternal sleep.,20,"Craftable item prepared using a ritual pot. Enchanted by the incantations of St. Trina. Consumes FP. Throw at enemies to cause buildup of eternal sleep. The weak are powerless to resist this velvety sleep, and will never be roused again.",1
18,Roped Frenzied Flame Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/roped_frenzied_flame_pot_throwing_pot_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw behind to cause buildup of madness,0,"Craftable item prepared using a cracked pot. A cocktail of materials is sealed inside, and a short rope that aids throwing has been secured around the pot. Throw at rearward enemies to cause buildup of madness. The flame of frenzy burns the eyes, but tranquility follows in its wake. May this pot bring salvation to those it strikes.",1
19,Spirit Raisin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spirit_raisin_consumable_sote_wiki_guide200px.png,Spectral steed pushes back enemies when breaking into gallop,0,"Preparation of dried Rada fruit. Craftable item. Feed to Torrent while riding to enable the spectral steed to push back enemies when breaking into a gallop. The effect ends after a short time. A bitter medicine traditionally claimed to enhance one's spirituality, but Torrent seems to have a taste for it.",1
20,Blessing of Marika,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blessing_of_marika_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Completely restores HP and heals all ailments,0,"A special physick blessed by Marika, the queen of the Erdtree. Completely restores HP and heals all ailments. Marika once created several of these physicks for Messmer's sake. But never again.",1
21,Lulling Branch,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lulling_branch_consumable_sote_wiki_guide200px.png,Slowly builds up sleep while gradually restoring FP,0,"Tree branch blessed with a velvety purple incantation. Craftable item. Pierce oneself, causing a gentle buildup of sleep. FP gradually recovers during this time. When this sleep reaches the threshold of causing temporary fogginess, no FP loss is incurred. In the midst of drowsiness, there is the will to awaken. Feelings that rise from the depths of one's heart.",1
22,Dragon Communion Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon_communion_flesh_consumables_sote_wiki_guide200px.png,"Boosts vigor, stamina, strength, and dexterity at the cost of gradual HP loss",0,"A lump of animal flesh with a heat that never cools. Craftable item. Boosts vigor, stamina, strength, and dexterity at the cost of gradual HP loss. An imitation of dragonscale flesh created by human hands, used to sate the hunger of drake warriorsif only briefly.",1
23,Dragonscale Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonscale_flesh_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Boosts vigor, stamina, strength, and dexterity at the cost of gradual HP loss",0,"A lump of hot flesh carved from beneath the inverted scales said to grow on aged dragons. When ingested as-is, boosts vigor, stamina, strength, and dexterity at the cost of gradual HP loss. To the drake warriors, there is no more intoxicating liquor than the heat of dragons.",1
