id,name,image,effect,FP cost,description,dlc
0,Viridian Hidden Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/viridian_hidden_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Eliminates all stamina consumption in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction eliminates all stamina consumption. However, this effect is only brief and will quickly expire.",1
1,Crimsonburst Dried Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimsonburst_dried_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Steadily restores HP of nearby allies for a time in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction gradually restores the HP of one's allies over time. Has no effect on the imbiber.",1
2,Crimson-Sapping Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimson-sapping_cracked_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Grants attacks HP-restoring effect in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily restores HP upon landing attacks.",1
3,Cerulean-Sapping Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cerulean-sapping_cracked_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Grants attacks FP-restoring effect in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily restores FP upon landing attacks.",1
4,Oil-Soaked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oil-soaked_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Coats nearby enemies with oil in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily causes the imbiber to break out in an oily sweat, soaking nearby enemies in oil. Oil-soaked enemies are highly susceptible to fire damage.",1
5,Bloodsucking Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodsucking_cracked_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Enhances attacks at the cost of HP in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily increases attack power but drains HP over time.",1
6,Glovewort Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glovewort_crystal_tear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Enhances attacks of spirits in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily increases the attack power of spirits.",1
7,Deflecting Hardtear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deflecting_hardtear_crystal_tear_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Enhances spontaneous guard in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily enhances spontaneous guard. Damage negation and guard poise will be heightened in the moment immediately after assuming a guarding stance. Successfully executing a spontaneous guard will also strengthen guard counters.",1
8,Ruptured Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ruptured_crystal_tear_elden_ring_wiki_guide_200px.png,Causes concoction to explode in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.Causes concoction to explode. A defective crystal tear which possesses absolutely no medicinal qualities. A lesson said to be learned the hard way for some; faith can be a volatile matter, after all.",0
9,Greenspill Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/greenspill_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts stamina in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily raises one's maximum stamina.,0
10,Cerulean Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cerulean_crystal_tear_elden_ring_wiki_guide_200px.png,Restores half of total FP in mixed physick.,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction restores half of one's maximum FP.,0
11,Crimson Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimson_crystal_tear_elden_ring_wiki_guide_200px.png,Restores half of total HP in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction restores half of one's maximum HP.,0
12,Crimsonburst Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimsonburst_crystal_tear_elden_ring_wiki_guide_200px.png,Steadily restores HP for a time in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction gradually restores one's HP over time.,0
13,Faith-knot Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/faith-knot_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts faith in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily boosts one's faith.,0
14,Opaline Bubbletear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/opaline_bubbletear_elden_ring_wiki_guide_200px.png,Significantly negates damage in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. Provides significant damage negation. However, this effect only occurs once, and will expire after a certain duration.",0
15,Strength-knot Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/strength-knot_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts strength in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily boosts one's strength.,0
16,Spiked Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spiked_cracked_tear_elden_ring_wiki_guide_200px.png,Enhances charged attacks for a time in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction increases the power of charged attacks for a certain duration.,0
17,Dexterity-knot Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dexterity-knot_crystal_tear2_elden_ring_wiki_guide_200px.png,Temporarily boosts dexterity in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily boosts one's dexterity.,0
18,Winged Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/winged_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily reduces equip load in mixed physick,Crystal Tears,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.Temporarily reduces equipment load.,0
19,Magic-Shrouding Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magic-shrouding_cracked_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts magic attacks in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts the power of one's magic attacks.,0
20,Lightning-Shrouding Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning-shrouding_cracked_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts lightning attacks in mixed physick,Crystal Tears,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts the power of one's lightning attacks.,0
21,Holy-Shrouding Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/holy-shrouding_cracked_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts holy attacks in mixed physick,Crystal Tears,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts the power of one's holy attacks.,0
22,Twiggy Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/twiggy_cracked_tear_elden_ring_wiki_guide_200px.png,Briefly stop rune loss on death in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction prevents one's runes from being lost upon death. However, the effect lasts only for a short time.",0
23,Leaden Hardtear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leaden_hardtear_elden_ring_wiki_guide_200px.png,Temporarily boosts poise in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting conconction temporarily boosts one's poise.,0
24,Crimsonspill Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimsonspill_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts max HP in mixed physick,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily raises one's maximum HP.,0
25,Greenburst Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/greenburst_crystal_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts stamina recovery speed in mixed physick.,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts stamina recovery speed.,0
26,Speckled Hardtear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/speckled_hardtear_elden_ring_wiki_guide_200px.png,Boosts resistance and heals status in mixed physick.,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily raises all resistances and heals all status ailments.,0
27,Flame-Shrouding Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flame-shrouding_cracked_tear_elden_ring_wiki_guide_200px.png,Temporarily boosts the power of one's fire attacks.,Crystal Tear,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts the power of one's fire attacks.,0
28,Crimson Bubbletear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimson_bubbletear_elden_ring_wiki_guide_200px.png,Restores HP when near death in mixed physick.,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction automatically heals one's HP in the moment before death. However, this effect only occurs once, and will expire after a certain duration.",0
29,Crimsonwhorl Bubbletear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crimsonwhorl_bubbletear_elden_ring_wiki_guide_200px.png,Converts damage received into HP in mixed physick.,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction converts incoming damage into recovered HP instead. However, physical damage cannot be converted. This effect is only brief and will quickly expire.",0
30,Thorny Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thorny_cracked_tear_elden_ring_wiki_guide_200px.png,Makes consecutive attacks grow stronger in mixed physick.,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction makes consecutive attacks grow stronger the longer they continue. However, the effect lasts only for a short time.",0
31,CERULEAN HIDDEN TEAR,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cerulean_hidden_tear_elden_ring_wiki_guide_200px.png,Eliminates all FP consumption in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction removes all FP consumption. However, this effect is only brief and will quickly expire.",0
32,Stonebarb Cracked Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stonebarb_cracked_tear_elden_ring_wiki_guide_200px.png,Make attacks more likely to break enemy stances in a mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction make one's attacks more likely to break an enemy's stance. However, the effect lasts only for a short time.",0
33,Windy Crystal Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/windy_crystal_tear_elden_ring_wiki_guide_200px.png,Enhances dodge rolls for a time in mixed physick,Crystal Tear,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction increases the effectiveness of dodgerolls for a certain duration. However, damage taken is also increased during the concoction's effect.",0
34,Opaline Hardtear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/opaline_hardtear_elden_ring_wiki_guide_200px.png,Temporarily boosts all damage negations in physick,Crystal Tear,A crystal tear formed slowly over ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick.The resulting concoction temporarily boosts all forms of damage negation.,0
