id,name,image,description,type,usage,location,dlc
0,Cracked Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cracked_pot_elden_ring_wiki_guide_200px.png,This empty pot somehow mends itself when broken. Essential vessel for crafting cracked pot items. The materials and magics sealed within deploy their effects when  the pot is thrown. ,Container,Container required for crafting cracked pot items. A maximum of 20 can be held.,See Cracked Pot for a full list of locations,0
1,Ritual Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ritual_pot_elden_ring_wiki_guide_200px.png,This empty pot somehow mends itself when broken. Special item with greater durability than a cracked pot.  Essential vessel for crafting ritual pot items.  The materials and magics sealed within deploy their effects when the pot is thrown. ,Container,Container required for crafting ritual pot items. A maximum of 10 can be held.,See Ritual Pot for a full list of locations,0
2,Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfume_bottle_elden_ring_wiki_guide_200px.png,"Glass bottles used by perfumers. Used to seal various scent compounds. Essential vessel for crafting perfume items. The art of perfuming was once jealously guarded in the capital, but after the perfumers were drafted into service during the Shattering, the art became widely practiced throughout the Lands Between. ",Container,Container required for crafting perfume items. A maximum of 10 can be held.,See Perfume Bottle for a full list of locations,0
3,Memory Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/memory_stone_elden_ring_wiki_guide_200px.png,"A black, lightly beguiling stone. Prized by the sorcerers who produce them. Increases memory slots. Said to be a fragment of the black moon that once hung above the Eternal City. ",Slot Increase,Increases Memory Slots. A maximum of 8 can be held.,See Memory Stone for a full list of locations,0
4,Talisman Pouch,http://eldenring.wiki.fextralife.com/file/Elden-Ring/talisman_pouch_elden_ring_wiki_guide_200px.png,"Small, withered bag, knitted by hand. Bestowed upon the ruling lord, or those attempting to become lord, by the elderly Finger Reader. Increases talisman equip slot. As the voices of the Two Fingers, Finger Readers are said to live lives eternal, and one is even supposed to have served as a wetnurse to royalty. or or omamori ",Slot Increase,Increases Talisman equip slots. A maximum of 3 can be held.,"Upon defeating Margit, the Fell Omen in Stormhill [Map Link]or Morgott, the Omen King in Leyndell, Royal Capital[Map Link]
After speaking to Finger Reader Enia, after acquiring two Great Runes.or found in the Twin Maiden Husks' shop, if missed from Enia
Upon defeating Godfrey, First Elden Lord in Leyndell, Royal Capital[Map Link]",0
5,Heart of Bayle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/heart_of_bayle_key_items_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The biatrial heart of Bayle the Dread. Dotted with horn-like gravel stones and glistening with deep-red liquor. Gorge upon this at the Grand Altar of Dragon Communion to absorb Bayle's power. The purest form of Communion, in the words of its priestess. ",Exchange,Gain power of Bayle at the Grand Altar of Dragon Communion,Dropped by Bayle the Dread. [See Shadow of the Erdtree Map],1
6,Larval Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/larval_tear_elden_ring_wiki_guide_200px.png,"An exceptionally rare creature that burgeons from spiritgraves and lives only a fleeting existence.Neither flesh nor spirit, but something in between. Material required by the amber egg cradled by Rennala, Queen of the Full Moon, to birth people anew. Being born anew allows the reallocation of attributes boosted by leveling up. An exceptionally rare creature that burgeons from spiritgraves and lives only a fleeting existence. Neither flesh nor spirit, but something in between. Material required by the amber egg cradled by Rennala, Queen of the Full Moon, to birth people anew. Being born anew allows the reallocation of attributes boosted by leveling up. ",Exchange,Material needed by Rennala to grant rebirth,Prospect Town: Can be found on an area of illuminated graves. [See Shadow of the Erdtree Map]Can be found southeast of Scorched Ruins. It's possible that this can only be found at night as it's encompassed by glowing gravestones.  [See Shadow of the Erdtree Map],1
7,Well Depths Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/well_depths_key_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A crude, corroded key. Opens the iron grating at the bottom of the well in Belurat, the tower settlement. ",Exploration,Opens the iron grating at the bottom of the well in Belurat,"Belurat Tower Settlement: From the bridge, enter the room with two enemies and you will find the Well Depths Key there. [See Shadow of the Erdtree Map]",1
8,Gaol Upper Level Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaol_upper_level_key_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,A frozen iron key. Opens the iron grating on the upper level of the Lamenter's Gaol. ,Exploration,Opens the iron grating on the upper level of the Lamenter's Gaol,"Can be found within Lamenter's Gaol. When you enter, proceed until you reach a fork in the path. Take the left turn, and after a short walk, enter the room on your right. Inside, you'll find a chest containing the Gaol Upper Level Key. [See Shadow of the Erdtree Map]",1
9,Gaol Lower Level Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaol_lower_level_key_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,A frozen iron key. Opens the iron grating on the lower level of the Lamenter's Gaol. ,Exploration,Opens the iron grating on the lower level of the Lamenter's Gaol,"Can be found in the lower level of the Lamenter's Gaol. After using the Gaol Upper Level Key and descending the ladder, follow the path until you can climb a rocky ledge on your right. Take the left door, go ahead, jump down, and follow the wooden path. At the first entrance, take a left and continue straight. Climb down the rocks where you'll find a chest with the Gaol Lower Level Key inside. [See Shadow of the Erdtree Map]",1
