id,name,image,type,description,option 1,option 2,value,boss,dlc
0,Remembrance of the Wild Boar Rider,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_wild_boar_rider_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Commander Gaius, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Both were as elder brothers to the lion, and both were cursed from birth. In spite of, or perhaps because of this very reason, Gaius was both Messmer's friend and the leader of his men. ",Weapon: Sword Lance,Sorcery: Blades of Stone,"30,000",Commander Gaius,1
1,Remembrance of the Impaler,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_impaler_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Messmer the Impaler, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. A malevolent snake writhed within Messmer, and so his very mother plucked out his eye and put in its place a seal of grace. Yet, having done so, her fear compelled her to secret away her child within the realm of shadow. Hidden away—keeping company with the original sin, and a hatred that would not be confined. ",Weapon: Spear of the Impaler,Incantation: Messmer's Orb,"40,000",Messmer the Impaler,1
2,Remembrance of the Shadow Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_shadow_sunflower_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Scadutree Avatar, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The Scadutree is the shadow of the Erdtree. Born of dark notions that bear no sense of Order, that twist and bend its stock, rendering it brittle. ",Weapon: Shadow Sunflower Blossom,Incantation: Land of Shadow,"40,000",Scadutree Avatar,1
3,Remembrance of the Twin Moon Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_twin_moon_knight_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Rellana, the Twin Moon Knight, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Once a Carian princess, Rellana disavowed her birthright and chose to stand at Messmer's side instead, knowing full well that not even the brilliance of the moon could grant him succor. Before long, she became known as the Sword of Messmer. ",Weapon: Rellana's Twinblade,Sorcery: Rellana's Twin Moons,"30,000","Rellana, Twin Moon Knight",1
4,Remembrance of the Saint of the Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_saint_of_the_bud_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Romina, Saint of the Bud, hewn into the Scadutree.  The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes.  After the church was burned to the ground, Romina discovered a twisted divine element, which she weaved into the baleful scarlet rot.  Perhaps then, the buds might find somewhere to gain purchase once more, within the scorched remains. ",Weapon: Poleblade of the Bud,Incantation: Rotten Butterflies,"30,000","Romina, Saint of the Bud",1
5,Remembrance of the Dancing Lion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_dancing_lion_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Dancing Lion, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. When the Impaler's army assailed the tower, the ritual of the lion dance was turned toward martial ends—its divinity, its fury, its light-footed beauty. ",Talisman:Enraged Divine Beast,Ash of War:Ash of War: Divine Beast Frost Stomp,"30,000",Divine Beast Dancing Lion,1
6,Remembrance of a God and a Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_a_god_and_a_lord.png,Remembrance,"Remembrance of Radahn, consort of Miquella, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. In their childhood, Miquella saw in Radahn a lord. His strength, and his kindness, that stood in stark contrast with their afflicted selves. And so Miquella made his heartfelt wish. That Radahn would one day be his king consort. ",Greatsword of Radahn (Lord)/Greatsword of Radahn (Light),Light of Miquella,"50,000","Radahn, Consort of Miquella",1
7,Remembrance of the Lord of Frenzied Flame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_lord_of_frenzied_flame_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Midra, Lord of Frenzied Flame, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. As the golden barbs inflicted eternal agony upon him, Midra held fast to Nanaya's entreaty: ""Endure."" The word was a curse. ",Weapon: Greatsword of Damnation,Incantation: Midra's Flame of Frenzy,"40,000","Midra, Lord of Frenzied Flame",1
8,Remembrance of the Mother of Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_mother_of_fingers_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Metyr, the Mother of Fingers, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The mother of all Two Fingers and Fingercreepers was in turn a magnificently gleaming daughter of the Greater Will, and the first shooting star to fall upon the Lands Between. ",Weapon: Staff of the Great Beyond,Weapon:Gazing Finger,"40,000","Metyr, Mother of Fingers",1
9,Remembrance of Putrescence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_putrescence_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Putrescent Knight, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. All tainted flesh eventually becomes putrescence, and this clump of it imbibed St. Trina's nectar, which granted it eternal rest. And so it was that putrescence became her knight. ",Weapon: Putrescence Cleaver,Sorcery: Vortex of Putrescence,"30,000",Putrescent Knight,1
