id,name,image,description,type,usage,location,dlc
0,Prattling Pate Lamentation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_lamentation_tool_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head. Emits a blissful ""Lamentation"".  The voice resounds, seeping into the brain.  Weeping, weeping, weeping. Ever weeping. ",Prattling Pate,Emits a blissful lamentation,"Lamenter's Gaol: Lamenter's Gaol. Climb up the long ladder, cross the connecting stone bridge, and enter the room on the left, you'll find this key item on a corpse. [Map Link]",1
1,Bondstone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bondstone_tool_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A large burrowstone studded with a perfectly white gem, said to be the polished form of a special kind of crystal. A ritual implement made to control explosions of spiritual power. Use to cause a spiritual explosion, consuming the sprite dwelling within spritestone. Bonds with the sprites were made to be broken. ",Offensive,"Causes a spiritual explosion, consuming sprite dwelling within spritestone","From the entrance of the Ancient Ruins of Rauh, head north towards the edge, and head west, you will find an area with an item below in which you can jump. [Elden Ring Shadow of the Erdtree Interactive Map]",1
2,Spritestone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spritestone_1_tool_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A Rauh Burrow inhabited by a sprite. Craftable item. Uses FP to release a sprite that slowly homes in on enemies. After a short time, the sprite fades away into glittering lights, causing a spiritual explosion on its passing. According to the records left by hornsent scholars, there were also contrivances known as ""bondstones"" that could manipulate the moment that the sprite vanishes. ",Defensive,Uses FP to release a sprite that slowly homes in on enemies,Location goes here...,1
3,Horned Bairn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_bairn_1_tool_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Doll of a tanglehorn bairn. Uses FP to summon vengeful spirits around the caster that autonomously chase down foes. Tangled horns are a symbol of spirituality, but most young born bearing the oversized horns meet a frightfully early demise. These fetishes are made to memorialize them. ",Defensive,Uses FP to summon vengeful spirits surrounding caster,Drops from the Lesser Ulcerated Tree Spirit near the Ellac River Cave Site of Grace. [See Shadow of the Erdtree Map],1
4,Perfumed Oil of Ranah,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumed_oil_of_ranah_tool_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A small bottle wrapped in a bright-red cloth. Filled with flammable perfume oil. Uses FP to spout flames forward. The dancers of Ranah keep these concealed as they dance, marking their height of their passion with an explosion of searing flame and sweet, enticing scents. ",Offensive,Uses FP to spout flames forward,Looted from the corpse in the small island found East from Cerulean Coast. The island is accessed by traversing an underground cave passage located along the coast just south near the Cerulean Coast West Site of Grace. See the Perfumed Oil of Ranah location in the [Shadow of the Erdtree Map].,1
5,Call of Tibia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/call_of_tibia_tools_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,An ancient ceremonial tool that uses a grave keeper's skull as a catalyst. Craftable item. Uses FP to summon one lost in death at the spot that it is thrown. The creature spins and mows down foes in the vicinity three times before dissipating. The dead have long been left to wander; what they need is leadership. ,Offensive,Uses FP to summon one lost in death,Looted from a grave by a skeleton ambush. [Elden Ring Shadow of the Erdtree Interactive Map],1
6,Surging Frenzied Flame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/surging_frenzied_flame_tools_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Spiritgrave stone burned by frenzied flame. Craftable item. Uses FP to place a stone on the ground, where it spews frenzied flames. Spirits are eternal, and yet frenzied flame melts them away regardless. No wonder the hornsent forbid the flame's use. ",Offensive,Uses FP to spew frenzied flame,"Drops off the untouchable enemies in the abyss. they can be spell parried, and the riposte does damage.",1
7,Golden Vow (Tool),http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_vow_tools_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Remains that turned into light after being blessed with an incantation of the Erdtree. Craftable item. Uses FP to rise into the air, increasing attack and defense of caster and nearby allies. The incantation serves as a rite that honors the comrades who placed their faith in the distant Erdtree and gave their lives in the crusade. ",Offensive,Uses FP to increase attack and defense,"Shadow Keep: x3 Can be found in the area with the big golden tree, it is guarded by a Black Knight. [Elden Ring Shadow of the Erdtree Interactive Map]
Shadow Keep: At the end of the room, hanging from a body. [Elden Ring Shadow of the Erdtree Interactive Map]",1
8,Fire Coil,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_coil_tools_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A device of fire used by Messmer's soldiers. Lingering embers, bundled into a coil. Craftable item. Uses FP to conjure tiny fire snakes from the spot that it is thrown. The writhing snakes pursue foes. Fire was a symbol of the crusade, and even Messmer's rank-and-file soldiers would wield it. ",Offensive,Uses FP to conjure a tiny fire snake,"X1 Can be found inside one of the right tent in the Messmer Soldiers Camp, near the Church of Consolation. [Elden Ring Shadow of the Erdtree Interactive Map]
Shadow Keep: Enter the eastern side of the library of the First floor of the Storehouse. [Elden Ring Shadow of the Erdtree Interactive Map]
Shadow Keep: x2 As you reach the fifth floor from the outside area, turn right and defeat the enemy on the alcove, there is an item there. [Elden Ring Shadow of the Erdtree Interactive Map]
Shadow Keep: x3 From the Storehouse site of grace, find the ladder and climb it up, pass the enemies. Circle the area on your right and turn back, Head all the way back to find the item. [Elden Ring Shadow of the Erdtree Interactive Map]",1
9,Fire Spritestone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_spritestone_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A Rauh Burrow inhabited by a fire sprite. Craftable item. Uses FP to release a fire sprite that bounces along the ground. The sprite pierces through enemies, dealing fire damage. Of all the sprites, the fire sprites are said to be the most boisterous in nature. ",Offensive,Uses FP to release a fire sprite that bounces along the ground,"Past the door opened with the lever, turn to the right at the first forked path and past the shadow enemies, you will find the item on a body hanging on the edge. [Elden Ring Shadow of the Erdtree Interactive Map]
North of the temple town ruins site of grace, past the red servants of rot, there is a cave, inside it you will find a Shadowpothead enemy. Beware of the poison traps littered around. Drops x3 Fire Spritestone, and Antiquity Scholar's Cookbook [1]. [Elden Ring Shadow of the Erdtree Interactive Map]",1
