id,name,image,description,effect,dlc
0,Scadutree Fragment,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scadutree_fragment_bolstering_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,,Bolsters Scadutree Blessing,1
1,Revered Spirit Ash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/revered_spirit_ash_bolstering_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Spirit ash of those who came before, infused with potent spirituality. Acquired from the corpses of hornsent and other objects that ritually decorate townships and villages across the realm of shadow. Consume these at sites of grace to bolster your Revered Spirit Ash Blessing. The Revered Spirit Ash Blessing bolsters both summoned spirits' and spectral steed's abilities to deal and negate damage but has no influence outside the realm of shadow. The withered corpses were called tutelary deities, and Revered Spirit Ash was said to quietly accumulate in the palms of their hands. ",Bolsters Revered Spirit Ash Blessing,1
2,Golden Seed,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_seed_elden_ring_wiki_guide_200px.png,"A golden seed, found at the base of an illusory tree. Increases a Sacred Flask's number of uses.(Can be used after resting at a site of grace.) When the Elden Ring was shattered, these seeds flew from the Erdtree, scattering across the various lands, as if life itself knew that its end has come. ",Increases Sacred Flask's total uses up to 14,0
3,Sacred Tear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacred_tear_elden_ring_wiki_guide_200px.png,"Blessing of the Erdtree, worshipped in the churches of all lands; this  is but a faint vestige. Increases the potency of a Sacred Flask's restorative effects. (Can be used after resting at a site of grace.) During the age of the Erdtree, these tears were used to spread the  faith, for theirs was once a certain blessing. ",Improves Sacred Flask's potency up to +12,0
4,Smithing Stone [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_1_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. A shard found in plenty. Strengthens armaments up to +3. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere. ",Reinforce armaments up to +3,0
5,Smithing Stone [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_2_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. A large shard found in plenty.  Strengthens armaments up to +6. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere ",Reinforce armaments up to +6,0
6,Smithing Stone [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_3_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. A particularly hard specimen. Strengthens armaments up to +9. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere. ",Reinforce armaments up to +9,0
7,Smithing Stone [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_4_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. A large and particularly hard specimen. Strengthens armaments up to +12. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere. ",Reinforce armaments up to +12,0
8,Smithing Stone [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_5_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armamemnts. A rare specimen, it is tinged with gold. Strengthens armaments up to +15. Mined near the foot of the Erdtree, these stones are said to have been used to bolster the strength of the Royal forces. ",Reinforce armaments up to +15,0
9,Smithing Stone [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_6_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. A larger rare specimen, it is tinged with gold. Strengthens armaments up to +18. Mined near the foot of the Erdtree, these stones are said to have been used to bolster the strength of the Royal forces. ",Reinforce armaments up to +18,0
