id,name,image,region,items,npcs,creatures,bosses,description,dlc
0,Abandoned Ailing Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/abandoned-ailing-village-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Broken Rune', 'Golden Rune (1)', 'Black Pyrefly', 'Human Bone Shard', 'Fly Mold', 'Ailment Talisman', 'Revered Spirit Ash', ""Greater Potentate's Cookbook (10)"", 'Larval Tear']",['Spirit NPC'],['Man-Fly'],,"A dilapidated village found north of Ellac bridge, is now infested with Man-flies.",1
1,Artist's Shack (Gravesite Plain),http://eldenring.wiki.fextralife.com/file/Elden-Ring/artists-shack-gravesite-plains-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,['Incursion Painting'],,,,A small ruined shack overlooking the Gravesite Plain.,1
2,Belurat Gaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/belurat-jail-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Frozen Maggot', 'Broken Rune', 'Shadow Realm Rune [3]', 'Smithing Stone [3]', 'Smithing Stone [6]', 'Greatjar', 'Glass Shard', 'Innard Meat', 'Thawfrost Boluses', 'Silver Horn Tender', 'Lost Ashes of War', 'Hefty Cracked Pot', ""Greater Potentate's Cookbook (11)"", 'Demi-Human Swordsman Yosh']",,"['Living Jar', 'Jar Innards', 'Shadow Undead', 'Messmer Foot Soldier']",['Demi-Human Swordmaster Onze'],An underground prison located deep within the Belurat Tower.,1
3,Belurat Tower Settlement,http://eldenring.wiki.fextralife.com/file/Monster-Hunter-World/thumbnails/mhws.png,Legacy Dungeons,"['Dried Bouquet', 'Crusade Insignia', 'Immunizing Horn Charm', 'Glass Shard', 'Broken Rune', 'Stanching Boluses', 'Silver Horn Tender', 'Stimulating Boluse', 'Messmerfire Grease', 'Golden Horn Tender', 'Neutralizing Boluses', 'Fireproof Dried Liver', 'Shadow Realm Rune [1]', 'Arrow', 'Bone Bow', 'Serpent Arrow', 'Poisoned Hand', 'Poisonbone Dart', 'Throwing Dagger', 'Euporia', 'Divine Beast Head', 'Watchful Spirit', 'Ash of War: Shriek of Sorrow', 'String', 'Knot Resin', 'Beast Liver', 'Flight Pinion', 'Sliver of Meat', 'Black Pyrefly', 'Thin Beast Bones', 'Smithing Stone [2]', 'Smithing Stone [3]', 'Revered Spirit Ash', 'Scadutree Fragment', 'Redflesh Mushroom', 'Whiteflesh Mushroom', 'Somber Smithing Stone [1]', 'Somber Smithing Stone [3]', 'Somber Smithing Stone [4]', 'Dewgem', 'Fly Mold', 'Flight Pinion', 'Black Pyrefly', 'Scorpion Liver', 'Silver Horn Tender', 'Horned Warrior Set', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Smithing Stone [6]', ""Horned Warrior's Sword"", 'Somber Smithing Stone [1]', 'Storeroom Key', 'Well Depths Key', 'Scorpion Stew', 'Tower of Shadow Message', 'Remembrance of the Dancing Lion', 'Euporia', 'Scadutree Fragment']","['Moore', 'Sir Ansbach', 'Hornsent Grandam']","['Man-Fly', 'Gravebird', 'Curseblade', 'Horned Warrior', 'Spider Scorpion', 'Shadow Undead', 'Fire Knight Queelign', 'Lesser Ulcerated Tree Spirit']",['Divine Beast Dancing Lion'],,1
4,Castle Ensis,http://eldenring.wiki.fextralife.com/file/Monster-Hunter-World/thumbnails/mhws.png,Legacy Dungeons,"[""Rellana's Cameo"", 'Spelldrake Talisman', 'Bolt', 'Arrow', 'Black Pyrefly', 'Starlight Shards', 'Shadow Realm Rune [2]', 'Shadow Realm Rune [4]', 'Silver-Pickled Fowl Foot', 'Drawstring Royal Magic Grease', 'Milady', 'Wolf Crest Shield', ""Moonrithyll's Knight Sword"", 'Carian Sorcery Sword', 'Glintstone Trio', 'String', 'Dewgem', 'Knot Resin', 'Glintslab Fly', 'Flight Pinion', 'Scadutree Fragment', 'Somber Smithing Stone [1]', 'Somber Smithing Stone [2]', 'Somber Smithing Stone [3]', 'Somber Smithing Stone [4]', 'Somber Smithing Stone [5]', 'Somber Smithing Stone [6]', 'Dagger', 'Page Set', 'Lazuli Robe', 'Flight Pinion', 'Heavy Crossbow', 'Smithing Stone [3]', 'Smithing Stone [4]', 'Smithing Stone [6]', 'Smithing Stone [7]', 'Royal Magic Grease', 'Somber Smithing Stone [9]', 'Imbued Sword Key', 'Message from Leda', ""Loyal Knight's Cookbook"", 'Remembrance of the Twin Moon Knight', 'Ash of War: Wing Stance', ""Monk's Missive"", 'May the Best Win', 'Cross Map', 'New Cross Map', 'Furnace Visage']","['Rellana, Twin Moon Knight']","['Page', 'Eagle', 'Turtle', 'Rotten Stray', 'Troll Knight', 'Messmer Soldier', 'Noble Sorcerer', 'Lazuli Sorcerer', 'Lesser Black Knight', 'Messmer Foot Soldier', 'Moonrithyll, Carian Knight']","[""Rellana's Cameo"", 'Spelldrake Talisman']",,1
5,Church of Benediction,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-benediction-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Golden Rune (1)', 'Blessed Blue Dew Talisman', 'Oathseeker Knight Greaves', 'Oathseeker Knight Gauntlets', 'Oathseeker Knight Armor', 'Oathseeker Knight Helm', 'Pata']",,,,A crumbled church in the southwest of Gravesite Plain.,1
6,Church of Consolation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-consolation-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Dewgem', 'Black Pyrefly', 'Golden Rune [1]', 'Blessing of Marika', 'Scadutree Fragment', 'Fire Coil']",,"['Rotten Stray', 'Black Knight', 'Messmer Soldier']",,A crumbled church lies at the edge of Gravesite Plain.,1
7,Dragon's Pit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragons-pit-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Knot Resin', 'Shadow Realm Rune (2)', 'Smithing Stone [1]', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Ancient Dragon Smithing Stone', ""Dragon-Hunter's Great Katana"", 'Dragon Heart']",,"['Lesser Magma Wyrm', 'Giant Beast Skeleton']",['Ancient Dragon-Man'],A large cave system found in Gravesite Plain.,1
8,Elder's Hovel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/elders-hovel-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Rada Fruit', 'Blessing of Marika', 'Talisman of the Dread']",['Spirit NPC'],['Sheep'],,A ruined shack at the edge of the Abyssal Woods.,1
9,Ellac Greatbridge,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ellac-greatbridge-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Ballista Bolt', 'Lost Ashes of War']",,['Messmer Soldier'],,A great bridge crossing the Ellac river.,1
10,Fog Rift Fort,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fog-rift-fort-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Redflesh Mushroom', 'Smithing Stone (7)', 'Somber Smithing Stone (2)', 'Serpent Flail', 'Fire Arrow', 'Messmerfire Grease', 'Black Steel Greatshield', ""Arrow's Soaring Sting Talisman"", ""Greater Potentate's Cookbook (3)""]",,['Messmer Soldier'],['Black Knight Garrew'],A large fort on the west of Castle Ensis.,1
11,Northern Nameless Mausoleum,http://eldenring.wiki.fextralife.com/file/Elden-Ring/northern-nameless-mausoleum-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"[""Red Bear's Claw"", 'Fang Helm', 'Iron Rivet Armor', 'Iron Rivet Gauntlets', 'Iron Rivet Greaves']",,,['Red Bear'],A small Mausoleum lies on a hill on northwest of the Castle Ensis.,1
12,Prospect Town,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prospect-town-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Rada Fruit', 'Beast Blood', 'Sanguine Amaryllis', 'Whiteflesh Mushroom', 'Golden Rune [1]', 'Outer God Heirloom', 'Larval Tear', 'Forager Brood Cookbook [2]', ""Greater Potentate's Cookbook (5)""]",,['Bloodfiend'],,Remnants of what was once a small town.,1
13,Rivermouth Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rivermouth-cave-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Sanguine Amaryllis', 'Shadow Realm Rune (1)', 'Sliver of Meat', 'Hefty Beast Bone', 'Sacred Bloody Flesh', ""Bloodfiend Hexer's Ashes""]",,"['Wolf', 'Bloodfiend']",['Chief Bloodfiend'],"The Rivermouth Cave is full of twists and turns as you head deeper into it. What creatures lie beneath this cave, undisturbed?",1
14,Ruined Forge Lava Intake,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ruined-forge-lava-intake-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Glass Shard', 'Gas Stone', 'Smithing Stone [1]', 'Smithing Stone [2]', 'Smithing Stone [3]', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Smithing Stone [7]', 'Somber Smithing Stone [2]', 'Somber Smithing Stone [6]', 'Ancient Dragon Smithing Stone', 'Anvil Hammer', 'Smithscript Dagger', ""Greater Potentate's Cookbook (13)""]",['Spirit NPC'],"['Golem Smith', 'Living Magma']",,"Underground ruins found east of Gravesite Plain, infested with foes.",1
15,Run-Down Traveler's Rest,http://eldenring.wiki.fextralife.com/file/Elden-Ring/run-down-travelers-rest-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Furnace Visage', ""Greater Potentate's Cookbook (2)""]",,,,A ruined house found under the Ellac Bridge.,1
16,Scorched Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorched-ruins-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Black Pyrefly', 'Furlcalling Finger Remedy', 'Bone Dart', 'Blade of Mercy', 'Hefty Cracked Pot', ""Greater Potentate's Cookbook (1)"", 'Shadow Realm Rune (2)']",['Spirit NPC'],"['Shadow Undead', 'Furnace Golem']",,"Once a magnificent sight to behold, now just ruins.",1
17,Suppressing Pillar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/supressing-pillar-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,['Ancient Dragon Smithing Stone'],,,,A towering pillar situated east of the Shadow Realm.,1
18,Western Nameless Mausoleum,http://eldenring.wiki.fextralife.com/file/Elden-Ring/western-nameless-mausoleum-sote-location-elden-ring-wiki-guide-300px.jpg,Gravesite Plain,"['Greatsword of Solitude', 'Helm of Solitude', 'Armor of Solitude', 'Gauntlets of Solitude', 'Greaves of Solitude']",,['Gravebird'],['Blackgaol Knight'],"A small Mausoleum, at the western edge of Gravesite Plain.",1
19,Bonny Gaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bonny-gaol-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Innard Meat', 'Silver Horn Tender', 'Raw Meat Dumpling', 'Invigorating Cured Meat', 'Broken Rune', 'Frozen Maggot', 'Smithing Stone [2]', 'Bolt', 'Night Set', 'Helm of Night', 'Armor of Night', 'Gauntlets of Night', 'Greaves of Night', 'Shield of Night', 'Stalwart Horn Charm +2', 'Lost Ashes of War', 'Hefty Cracked Pot', 'Curseblade Meera']",,"['Giant Rat', 'Living Jar', 'Jar Innards', 'Skeletal Slime', 'Shadow Undead', 'Messmer Foot Soldier']",['Curseblade Labirith'],"A large underground area, infested with foes and spoils.",0
20,Bonny Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bonny-village-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Broken Rune', 'Kukri', 'Human Bone Shard', 'Living Jar Shard', 'Bonny Butchering Knife', 'Revered Spirit Ash', 'Hefty Cracked Pot', 'O Mother Gesture']",,"['Greater Potentate', 'Shadow Undead']",,"A dilapidated village in Scadu Altus, full of Jars.",1
21,Cathedral of Manus Metyr,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cathedral-of-manus-metyr-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Glinting Nail', 'Starlight Shards', 'Crimson Seed Talisman +1', 'Cerulean Seed Talisman +1', 'Claws of Night', 'High Priest Set', 'Maternal Staff', 'Cherishing Fingers', 'Sword of Night', 'Hole-Laden Necklace', ""Ymir's Bell Bearing"", 'Ruins Map', ""Greater Potentate's Cookbook (4)"", 'Swordhand of Night Jolan']","['Count Ymir', 'Jolan']","['Finger Mimic', 'Man-Serpent', 'Fingercreeper']","['Count Ymir, Mother of Fingers', 'Swordhand of Night Anna', 'Swordhand of Night Jolan']","Large cathedral in Scadu Altus, where Count Ymir awaits your arrival.",1
22,Church of the Crusade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-the-crusade-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Rune Arc', 'Shadow Sunflower', 'Scadutree Fragment', 'Crusade Insignia']",['Fire Knight Queelign'],['Ash of War: Flame Skewer'],['Fire Knight Queelign'],"A large, crumbled church in Scadu Altus, contains the flame of Messmer.",1
23,Darklight Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/darklight-catacombs-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Glowstone', 'Dragonbolt Grease', 'Shadow Realm Rune (5)', 'Yellow Fulgurbloom', 'Grave Glovewort (1)', 'Grave Glovewort (5)', 'Grave Glovewort (4)', 'Ghost Glovewort (8)', 'Great Ghost Glovewort', 'Thin Beast Bones', 'Death Knight Helm', 'Death Knight Armor', 'Death Knight Gauntlets', 'Death Knight Greaves', 'Viridian Amber Medallion', 'Bigmouth Imp Ashes']",,"['Inquisitor', 'Fanged Imp', 'Bigmouth Imp', 'Putrescence Sorcerer']","['Jori, Elder Inquisitor']",Catacombs in the depth of the south Scadu Altus region.,1
24,Eastern Nameless Mausoleum,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eastern-nameless-mausoleum-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"[""Rakshasa's Great Katana"", 'Rakshasa Helm', 'Rakshasa Armor', 'Rakshasa Gauntlets', 'Rakshasa Greaves']",,,['Rakshasa'],"A small mausoleum on a river bank, in a valley under Bonny Village.",1
