id,name,image,location,role,voiced by,description,dlc
0,Abandoned Merchant Siofra River,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic-merchant-siofra-river-elden-ring-wiki-guide-300px.jpg,Siofra River,General Goods Shop,Voice Actor goes here.,"Abandoned Merchant Siofra River is an NPC and one of several Nomadic Merchants in Elden Ring. Abandoned Merchants sell various items and equipment including Consumables, Materials, Weapons and Armor as well as notes containing hints on how to acquire certain items. This Abandoned Merchant can be found inside one of the ruins in Central Siofra River.",0
1,Aeonian Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swamp_of_aoenia_spirit.jpg,Northern cliff of Swamp of Aeonia,Benevolent,,The Aeonian Spirit is an NPC in Elden Ring. He stands upon the northern cliffs of the Swamp of Aeonia.,0
2,Aeonian Swamp Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/aeonianswampspirit_.jpg,Aeonia Swamp Shore,Benevolent,,The Aeonian Swamp Spirit is an NPC in Elden Ring. He rests on the shore of the swamp and looks out towards the Heart of Aeonia.,0
3,Albinauric Village Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albinauricvillagespiritb.jpg,Village of the Albinaurics,Benevolent,,"The Albinauric Village Spirit is an NPC in Elden Ring. Located in the Village of the Albinaurics, he wishes for Albus' safety and gives you a hint on how to find him.",0
4,Albus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albus-npc-elden-ring-wiki-guide.jpg,"Village of the Albinaurics, Liurnia of the Lakes",Gives Key Item,Martyn Ellis,Albus is an NPC in Elden Ring. Albus is an Albinauric who is trying to hide from the calamity that befell Village of the Albinaurics in Liurnia of the Lakes. He has an important item that he would like you to protect,0
5,Sir Ansbach,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ansbach(1).png,"Outside Belurat, Tower Settlement","Pureblood Knight Captain (former), NPC Quest Related",Ben Miles,"Sir Ansbach is an NPC in Elden Ring. Sir Ansbach is a former servant of Mohg, Lord of Blood, but is now part of the group that follows Miquella through the Realm of Shadow. Sir Ansbach is an NPC exclusive to Shadow of the Erdtree and does not appear in the base game.",1
6,Ashen Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ashen_spirit_b.jpg,"Leyndell, Ashen Capital",Benevolent,,Ashen Spirit is an NPC in Elden Ring. Ashen Spirit can be found sitting on the ground in the ash.,0
7,Blackguard Big Boggart,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blackguard-npc-elden-ring-wiki-guide.jpg,Boilprawn Shack,Blackguard,Dean Fagan,"Blackguard Big Boggart is an NPC in Elden Ring. Initially encountered as the thief of Rya's Necklace, he is a minor NPC and merchant.",0
8,Blaidd the Half-Wolf,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blaidd-wolfman-location2-npc-elden-ring-wiki-300px-min.jpeg,,Quest NPC and summon,Scott Arthur,Mistwood Ruins Forlorn Hound Evergaol Siofra River Redmane Castle Three Sisters,0
9,Bloody Finger Hunter Yura,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody-finger-hunter-yura-npc-elden-ring-wiki-guide.jpg,Limgrave: near Seaside RuinsLiurnia of the Lakes: Near Raya Lucaria Academy entrance.Altus Plateau: Second Church of Marika,Quest NPC and Summonable Cooperator,Shaun Dooley,Limgrave: near Seaside RuinsLiurnia of the Lakes: Near Raya Lucaria Academy entrance.Altus Plateau: Second Church of Marika,0
10,Boc the Seamster,http://eldenring.wiki.fextralife.com/file/Elden-Ring/boc_npcs_elden_ring_wiki_guide_300px.jpg,Limgrave,Garments Adjuster andQuest NPC,Calvin A. Dean,Boc the Seamster is an NPC in Elden Ring. Boc is a Demi-Human who is capable of advanced communication. Boc is initially met by the player in the form of a small tree.,0
11,Brother Corhyn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/brother_corhyn_npcs_elden_ring_wiki_guide.jpg,Roundtable Hold,Merchant and Quest NPC,Samuel Barnett,Brother Corhyn is an NPC in Elden Ring. Brother Corhyn is a holy practitioner who will teach you practical faith-based Incantations in exchange for Runes. You will encounter him once you've reached the Roundtable Hold.,0
12,Carian Manor Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carianmanorspirit.jpg,Carian Manor,Benevolent,,"The Carian Manor Spirit is an NPC in Elden Ring. He can be found sitting on a chair, inside the",0
13,Church of Pilgrimage Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-pilgrimage-spirit-npc.png,Church of Pilgrimage,Spirit NPC,,The Church of Pilgrimage Spirit is an NPC in Elden Ring. They can be found outside of the Church of Pilgrimage in the Weeping Peninsula.,0
14,"Count Ymir, High Priest",http://eldenring.wiki.fextralife.com/file/Elden-Ring/ymir.png,Cathedral of Manus Metyr,Merchant,Matthew Gravelle,"Count Ymir, High Priest is an NPC in Elden Ring. Count Ymir, High Priest is a High Priest who oversees the Cathedral of Manus Metyr. He sells a collection of spells that can be purchased with runes. He has a servant named Jolan, who can be summoned during certain fights after progressing his questline. Count Ymir, High Priest is an NPC exclusive to the Shadow of the Erdtree DLC and does not appear in the base game.",1
