id,name,image,type,equipament,charge,FP,effect,locations,dlc
0,Dryleaf Whirlwind,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_whirlwind.gif,Regular,Usable on Hand-to-Hand Arts,No,9 (-/-),"This skill represents the pinnacle of Dane's footwork-based martial artistry. Rise into the air with a series of spinning kicks before crashing down with one final strike. Imbues kicking attacks with energy, increasing their range.",Ash of War Dryleaf Whirlwind,1
1,Aspects of the Crucible: Wings,https://eldenring.wiki.fextralife.com/file/Elden-Ring/aspect_of_the_crucible_wings.gif,Regular,All Swords and Polearms capable of Thrusting (Except Colossal Weapons),No,22 (-/-),"This skill originates from the lifeforms of the Crucible. Grow a golden pair of wings and take to the air before diving down at the foe, weapon first. A spinning attack is performed when wielding a twinblade.",Ash of War: Aspects of the Crucible: Wings,1
2,Spinning Gravity Thrust,https://eldenring.wiki.fextralife.com/file/Elden-Ring/aspect_of_the_crucible_wings.gif,Regular,Usable on large and colossal swords,No,26 (-/12),A gravity skill honed by the disciples of an Alabaster Lord. Uses gravitational power to hang in the air before rotating the body and charging forward. An additional input allows for a follow-up attack.,Ash of War Spinning Gravity Thrust,1
3,Palm Blast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/palm-blast.gif,Regular,Usable on Hand-to-Hand Arts,Yes,14 (-/-),Skill of the spiritual seekers known as the Dryleaf Sect. Imbues hand with energy before using a palm strike to unleash an explosive blast. The already formidable power and impact can be bolstered by charging the attack.,Ash of War Palm Blast,1
4,Piercing Throw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithscript-dagger---piercing-throw.gif,Regular,Usable on Throwing Blades,No,6 (-/-),"Throw armament with a powerful spin, causing it to bore through foes. When using this skill, the armament can be thrown further than normal and also pierce through enemies",Ash of War Piercing Throw,1
5,Scattershot Throw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scattershot-throw.gif,Regular,Usable on Throwing Blades,No,11 (-/11),Employ smithing arts to conjure multiple copies of the armament in both hands and throw them all at once. Follow up with an additional input to throw again.,Ash of War Scattershot Throw,1
6,Wall of Sparks,https://eldenring.wiki.fextralife.com/file/Elden-Ring/wall_of_sparks.gif,Regular,Usable on Perfume Bottles,Yes,16 (-/-),"catter perfumed powder in vicinity, producing intense sparks after a brief delay. Can be charged to increase power and range. The properties of the sparks are determined by the perfume bottle used.",Ash of War Wall of Sparks,1
7,Rolling Sparks,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rolling+sparks+temp.png,Regular,Usable on Perfume Bottles,No,14 (-/-),"Scatter perfumed powder before you, triggering rolling explosions of deadly sparks. The properties of the sparks are determined by the perfume bottle used.",Ash of War Rolling Sparks,1
8,Raging Beast,https://eldenring.wiki.fextralife.com/file/Elden-Ring/raging_beast.gif,Regular,Usable on Beast Claws,No,7 (-/7),"Step with the swiftness of a beast, leap high, and slash foe from above. Initial step can be taken forward, backward, left, or right. Strong attack allows for a follow-up attack.",Ash of War Raging Beast,1
9,Savage Claws,http://eldenring.wiki.fextralife.com/file/Elden-Ring/best-claw---savage-claws.gif,Regular,Usable on Beast Claws,No,13 (-/-),Pounce like a beast to viciously slash into foe with left and right claws.,Ash of War Savage Claws,1
10,Red Bear Hunt,https://eldenring.wiki.fextralife.com/file/Elden-Ring/red_bear_hunt2.gif,Unique,Red Bear's Claw,No,8 (-/8),Slaughters prey with sharp claws in a great swipe of the arm. The attack creates a vacuum which deals continuous damage. Repeated inputs allow for up to two follow-up attacks.,Default skill of Red Bear's Claw,1
11,Blind Spot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blind_spot.gif,Regular,Usable on Backhand Blades,No,9 (-/-),Leap into close quarters to take advantage of the enemy's blind spot and gore them from the side. Inputs determine which side you strike from. This attack slips below the opponent's guard.,Ash of War Blind Spot,1
12,Swift Slash,https://eldenring.wiki.fextralife.com/file/Elden-Ring/swift_slash2.gif,Regular,Usable on Backhand Blades,No,16 (-/-),A skill passed down amongst hornsent swordsmen. Take a swift forward step to slice through foes. This sharp strike also fires off a shearing vacuum. Can be charged to increase the skill's power and the distance of the forward step.,Ash of War Swift Slash,1
13,Overhead Stance,https://eldenring.wiki.fextralife.com/file/Elden-Ring/overhead_stance.gif,Regular,Usable on Great Katanas,No,-0.8,"A skill that starts with the blade held high in a ready stance. Execute a normal attack from this stance to step forward and slash downwards, or a strong attack to deliver a series of downward slashes.",Ash of War Overhead Stance,1
14,Wing Stance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wing_stance.gif,Regular,Usable on Light Greatswords,No,-0.8,Calmly assume a right-sided stance. Normal attack triggers a rapid three-slash combination. Strong attack triggers a leaping thrust.,Ash of War Wing Stance,1
15,Blinkbolt,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blinkbolt.gif,Regular,Usable on all Melee Armaments,No,8 (-/-),"Skill used by the golden knights who served Godwyn. From a low stance, the body is transformed into a bolt of lightning and charges straight ahead at fulgurous speed.",Ash of War Blinkbolt,1
16,Flame Skewer,https://eldenring.wiki.fextralife.com/file/Elden-Ring/flame_skewer.gif,Regular,Usable on medium and large armaments capable of thrusting,No,18 (-/8),Skill of Queelign of the Fire Knights. Enwreathe armament in flame and assume a low stance before skewering the enemy in a single motion. Strong attack unleashes a follow-up flame attack.,Ash of War Flame Skewer,1
