id,name,image,description,effect,FP,slot,INT,FAI,ARC,stamina cost,bonus,location,dlc
0,Miriam's Vanishing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miriams_vanishing_sorcery_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sorcery of a preceptor who served the Carian royal family. Used to conceal oneself in a glintstone haze, reappearing after a few seconds have passed. Directional inputs determine where one will reappear. The curator of the study hall was such a master of this sorcery that it now bears her name.",Conceals self in a glintstone haze,9,1,26,0,0,10,Carian,"Can be purchased from Count Ymir at the Cathedral of Manus Metyr for 10,000 Runes [Map Link]",1
1,Glintblade Trio,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintblade_trio_2_sorcery_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"An old sorcery of the Carian royal family. Creates a sigil overhead, from which three enemy-seeking glintblades appear after a brief delay. This sorcery can be used while in motion. Charging increases the delay. The prototypical form of sword-phalanx sorceries saw a different subsequent refinement in the realm of shadow.",Creates sigil that forms three projectile glintblades after delay,19,1,28,0,0,22,Carian,"The Glintblade Trio spell is found by looting it off a corpse inside Castle Ensis. After passing through the iron gate just beyond the chapel in the midpoint of the castle, then dropping off the side of the cliff and climbing up the ladders to the rooftop of the chapel. You can then drop down on the north side of the roof to get to the corpse hanging over a ledge that has the spell. [Map Link]",1
2,Rellana's Twin Moons,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rellanas_twin_moons_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sorcery of Rellana, the Twin Moon Knight. Associated with a Carian princess. Incarnate overlapping twin moons which strike the ground one after the other, violently shaking the earth with moonlight. In her childhood, she and her elder sister Rennala met these moons. Overlapping, as though nestled against one another.",Incarnate twin moons and repeatedly strike the ground,47,2,72,0,0,32,Full Moon,Can be selected as one of the possible rewards when trading Remembrance of the Twin Moon Knight with Enia at the Roundtable Hold.,1
3,Glintstone Nail,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_nail_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Glintstone sorcery of Count Ymir, High Priest. One of the finger sorceries said to have been discovered in a hallowed ruin. Flings a magic nail that crumbles during flight. Charging increases potency. Count Ymir boasts that this is mere child's play, an echo of a greater truth.",Fires a shattering magic nail,10,1,18,0,0,21,Finger,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the first finger bell.,1
4,Glintstone Nails,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_nails_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Glintstone sorcery of Count Ymir, High Priest. One of the finger sorceries said to have been discovered in a hallowed ruin. Flings multiple magic nails that crumble during flight. Charging increases potency. Count Ymir boasts that this is mere child's play, an echo of a greater truth.",Fires multiple shattering magic nails,23,1,32,0,0,26,Finger,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the first finger bell.,1
5,Blades of Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blades_of_stone_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Gravity-manipulating sorcery of Commander Gaius. Pulls blade-like clumps of rock from the earth. Charging increases potency. Gaius and Radahn were good rivals in their youth, and this sorcery is a product of their friendly competition.",Summons rock blades from the earth,18,2,48,0,0,29,Gravity,Can be selected as one of the possible rewards when trading Remembrance of the Wild Boar Rider with Enia at the Roundtable Hold.,1
6,Gravitational Missile,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravitational_missile_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,One of the glintstone sorceries that manipulates gravitational forces. Fires a gravitational projectile that pulls in enemies before finally exploding. Charging increases potency. Said to have originated in the lightless dark far beyondthe home of the fallingstar beasts.,Fires a bolt of gravity that pulls in enemies,18,1,36,0,0,29,Gravity,"Dropped by the Fallingstar Beast, who can be found in the crater in Fingerstone Hill. [Elden Ring Shadow of the Erdtree Map]",1
7,Mantle of Thorns,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mantle_of_thorns_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sorcery of those who abandoned the practice of incantations after devout faith rewarded them with only despair. Covers the caster in impenetrable thorns grown from the Scadutree. Once covered, dodge rolls will damage enemies. The image of the misshapen Scadutree is an edict: Spurn all that exists. Wound all that exists. For we have been abandoned.",Covers self with the Scadutree's impenetrable thorns,9,1,0,20,0,22,Scadutree,"Shadow Keep: This item drops from the Lesser Ulcerated Spirit enemy that emerges beneath the ground, near the large tree. [Map Link]",1
8,Impenetrable Thorns,http://eldenring.wiki.fextralife.com/file/Elden-Ring/impenetrable_thorns_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Sorcery of those who abandoned the practice of incantations after devout faith rewarded them with only despair. Summons the Scadutree's impenetrable thorns from the ground. This sorcery can be used repeatedly. The image of the twisted Scadutree is an edict: Denounce their ways. Do them harm. For they have abandoned us.,Summons the Scadutree's impenetrable thorns from the earth,15,1,0,24,0,22,Scadutree,"Shadow Keep: Accessible after rotating the specimen statues. From the Storehouse, Seven Floor grace, climb rotated beams until you reach outside. Drop down the ledge to the bat below.",1
9,Rings of Spectral Light,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rings_of_spectral_light_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sorcery practiced by the keepers of the spiritgraves, where all death ultimately drifts. Creates rings of spectral light that fire in unison. Charging enhances potency. The rings of light have the same qualities as ghostflame, and deal magic damage while also causing frost buildup.",Creates rings of spectral light that fire in unison,14,1,24,18,0,21,Death,Looted from the altar by the giant bird statue after defeating several birds in Charo's Hidden Grave [Map Link],1
