id,name,effect,weight,value,description,dlc,image
0,Crimson Amber Medallion,Effect Raises maximum HP by 6%,0.3,100,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
1,Crimson Amber Medallion +1 Variant,Effect Raises maximum HP by 7%,0.3,500,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
2,Crimson Amber Medallion +2 Variant,Effect Raises maximum HP by 8%,0.3,1000,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
3,Crimson Amber Medallion +3 Variant,Effect Raises maximum HP by 10%,0.3,2000,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
4,Cerulean Amber Medallion,Effect Raises maximum FP by 7,0.3,100,"A medallion with cerulean amber inlaid.Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
5,Cerulean Amber Medallion +1 Variant,Effect Raises maximum FP by 9,0.3,500,"A medallion with cerulean amber inlaid.Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
6,Cerulean Amber Medallion +2 Variant,Effect Raises maximum FP by 11,0.3,1000,"A medallion with cerulean amber inlaid.Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
7,Cerulean Amber Medallion +3 Variant,Effect Raises maximum FP by 12,0.3,2000,"A medallion with cerulean amber inlaid.Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
8,Viridian Amber Medallion,Effect Raises maximum Stamina by 11%,0.3,100,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/viridian_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
9,Viridian Amber Medallion +1 Variant,Effect Raises maximum Stamina by 13%,0.3,500,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/viridian_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
10,Viridian Amber Medallion +2 Variant,Effect Raises maximum Stamina by 15%,0.3,1000,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/viridian_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
11,Viridian Amber Medallion +3 Variant,Effect Raises maximum Stamina by 17%,0.3,???,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/viridian_amber_medallion_talisman_elden_ring_wiki_guide_200px.png
12,Two-Headed Turtle Talisman,Effect Greatly raises stamina recovery speed,1.0,???,"A talisman in the shape of a two-headed green turtle. Greatly raises stamina recovery speed. Turtles are known as a nutritious ingredient, symbolic of inexhaustible power. Two-headed turtles are a favorite subject in the land of the tower, due to the spiral shape of their intertwined necks.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/two-headed_turtle_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
13,Stalwart Horn Charm,Effect Raises Robustness by 90,0.6,500,"An accoutrement worn by the ancestral followers. Raises robustness. (Robustness governs resistance to blood loss and frost.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/stalwart_horn_charm_talisman_elden_ring_wiki_guide_200px.png
14,Stalwart Horn Charm +1 Variant,Effect Raises Robustness by 140,0.6,1000,"An accoutrement worn by the ancestral followers. Raises robustness. (Robustness governs resistance to blood loss and frost.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/stalwart_horn_charm_talisman_elden_ring_wiki_guide_200px.png
